고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
동작구 신대방동 347-25,37.49907596,126.9274503,동작구,보라매자이더포레스트105동상가앞,불법주정차구역
동작구 흑석동 7-1,37.50878498,126.9640531,동작구,흑석초등학교,불법주정차구역
동작구 본동 492,37.50965792,126.9489985,동작구,영본초등학교,불법주정차구역
동작구 노량진동 240-18,37.5113766,126.940014,동작구,노량진초등학교,불법주정차구역
동작구 신대방동 686-48,37.48649178,126.9055262,동작구,동작협성휴포레시그니처아파트 정문,불법주정차구역
동작구 신대방동 644-5,37.48773219,126.9127875,동작구,문창초등학교입구,불법주정차구역
동작구 상도동 906,37.4982013,126.938803,동작구,상도푸르지오클라베뉴105동앞,불법주정차구역
동작구 사당동 265-32,37.48362902,126.972682,동작구,남성역 골목시장 입구,불법주정차구역
동작구 상도동 906,37.49689973,126.9395504,동작구,상도푸르지오클라베뉴110동앞,불법주정차구역
동작구 상도동 906,37.49708861,126.9389085,동작구,상도푸르지오클라베뉴108동앞,불법주정차구역
동작구 사당동 70-1,37.49137381,126.9803667,동작구,동작동 성당,불법주정차구역
동작구 사당동 59,37.49246782,126.9769273,동작구,동작초등학교입구,불법주정차구역
동작구 동작동 333,37.49440655,126.9800458,동작구,희망어린이공원 삼거리,불법주정차구역
동작구 상도동 904,37.50075669,126.9455355,동작구,상도롯데캐슬아파트103동앞,불법주정차구역
동작구 대방동 407-43,37.49901894,126.9254447,동작구,보라매자이더포레스트103동앞,불법주정차구역

